3001-<10.00,-1.16,0>-<0,0,0>.pov.png	1	316 99 40 61
3001-<10.00,-1.16,0>-<0,0,135.00>.pov.png	1	304 98 66 63
3001-<10.00,-1.16,0>-<0,0,180.00>.pov.png	1	316 99 40 61
3001-<10.00,-1.16,0>-<0,0,225.00>.pov.png	1	304 100 66 61
3001-<10.00,-1.16,0>-<0,0,270.00>.pov.png	1	305 111 64 37
3001-<10.00,-1.16,0>-<0,0,315.00>.pov.png	1	304 98 66 63
3001-<10.00,-1.16,0>-<0,0,45.00>.pov.png	1	304 100 66 61
3001-<10.00,-1.16,0>-<0,0,90.00>.pov.png	1	305 111 64 37
3001-<10.00,-1.16,0>-<0,90,0>.pov.png	1	321 98 37 62
3001-<10.00,-1.16,0>-<0,90,135.00>.pov.png	1	296 96 64 56
3001-<10.00,-1.16,0>-<0,90,180.00>.pov.png	1	308 99 36 61
3001-<10.00,-1.16,0>-<0,90,225.00>.pov.png	1	296 108 64 55
3001-<10.00,-1.16,0>-<0,90,270.00>.pov.png	1	299 121 69 29
3001-<10.00,-1.16,0>-<0,90,315.00>.pov.png	1	306 105 65 58
3001-<10.00,-1.16,0>-<0,90,45.00>.pov.png	1	306 97 65 55
3001-<10.00,-1.16,0>-<0,90,90.00>.pov.png	1	299 108 69 30
3001-<10.00,-1.16,0>-<180,0,0>.pov.png	1	309 98 41 62
3001-<10.00,-1.16,0>-<180,0,135.00>.pov.png	1	297 97 67 64
3001-<10.00,-1.16,0>-<180,0,180.00>.pov.png	1	309 98 41 62
3001-<10.00,-1.16,0>-<180,0,225.00>.pov.png	1	297 99 67 62
3001-<10.00,-1.16,0>-<180,0,270.00>.pov.png	1	298 110 65 38
3001-<10.00,-1.16,0>-<180,0,315.00>.pov.png	1	297 97 67 64
3001-<10.00,-1.16,0>-<180,0,45.00>.pov.png	1	297 99 67 62
3001-<10.00,-1.16,0>-<180,0,90.00>.pov.png	1	298 110 65 38
3001-<10.00,-1.16,0>-<90,0,0>.pov.png	1	305 121 55 29
3001-<10.00,-1.16,0>-<90,0,135.00>.pov.png	1	308 104 58 40
3001-<10.00,-1.16,0>-<90,0,180.00>.pov.png	1	305 108 54 30
3001-<10.00,-1.16,0>-<90,0,225.00>.pov.png	1	299 105 57 39
3001-<10.00,-1.16,0>-<90,0,270.00>.pov.png	1	302 111 47 37
3001-<10.00,-1.16,0>-<90,0,315.00>.pov.png	1	298 116 58 38
3001-<10.00,-1.16,0>-<90,0,45.00>.pov.png	1	308 115 58 39
3001-<10.00,-1.16,0>-<90,0,90.00>.pov.png	1	315 110 47 37
3001-<10.00,-3.44,0>-<0,0,0>.pov.png	1	315 63 41 63
3001-<10.00,-3.44,0>-<0,0,135.00>.pov.png	1	304 62 65 65
3001-<10.00,-3.44,0>-<0,0,180.00>.pov.png	1	315 63 41 63
3001-<10.00,-3.44,0>-<0,0,225.00>.pov.png	1	303 66 67 60
3001-<10.00,-3.44,0>-<0,0,270.00>.pov.png	1	304 74 64 41
3001-<10.00,-3.44,0>-<0,0,315.00>.pov.png	1	304 62 65 65
3001-<10.00,-3.44,0>-<0,0,45.00>.pov.png	1	303 66 67 60
3001-<10.00,-3.44,0>-<0,0,90.00>.pov.png	1	304 74 64 41
3001-<10.00,-3.44,0>-<0,90,0>.pov.png	1	320 61 37 64
3001-<10.00,-3.44,0>-<0,90,135.00>.pov.png	1	296 59 63 60
3001-<10.00,-3.44,0>-<0,90,180.00>.pov.png	1	307 64 37 62
3001-<10.00,-3.44,0>-<0,90,225.00>.pov.png	1	296 73 64 55
3001-<10.00,-3.44,0>-<0,90,270.00>.pov.png	1	299 84 68 33
3001-<10.00,-3.44,0>-<0,90,315.00>.pov.png	1	306 68 64 60
3001-<10.00,-3.44,0>-<0,90,45.00>.pov.png	1	305 61 65 55
3001-<10.00,-3.44,0>-<0,90,90.00>.pov.png	1	299 70 68 35
3001-<10.00,-3.44,0>-<180,0,0>.pov.png	1	309 61 41 64
3001-<10.00,-3.44,0>-<180,0,135.00>.pov.png	1	297 60 67 66
3001-<10.00,-3.44,0>-<180,0,180.00>.pov.png	1	309 61 41 64
3001-<10.00,-3.44,0>-<180,0,225.00>.pov.png	1	296 63 68 62
3001-<10.00,-3.44,0>-<180,0,270.00>.pov.png	1	297 72 66 42
